      dielec	 sigma_chalk	   psi_chalk	  sigma_clay	    psi_clay	  psi_chalk1	  psi_chalk2	
  7.8384e+01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.8384e+01	  2.3181e-04	  3.4381e-03	  0.0000e+00	  0.0000e+00	  3.2598e-03	  3.2083e-03	
  7.8384e+01	 -5.3841e-05	  1.4089e-02	  0.0000e+00	  0.0000e+00	  1.4130e-02	  1.3783e-02	
