temp, pressure, pH, p_CO2, Na, Cl, Mg, Ca, Ba, K, S, C, calcite, site_dens, sp_area, zeta
25, 1, 7.0, 3.4, 0.08, 0.04, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.6, 4.95, 2.0, 0.005
25, 1, 7.0, 3.4, 0.075, 0.025, 0.0, 0.0, 0.0, 0.0, 0.025, 0.0, 0.6, 4.95, 2.0, -0.00134
25, 1, 7.0, 3.4, 0.0667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0333, 0.0, 0.6, 4.95, 2.0, -0.0045
25, 1, 7.0, 0.0, 0.095, 0.085, 0.0, 0.0, 0.0, 0.0, 0.005, 0.0, 0.6, 4.95, 2.0, 0.0107
25, 1, 7.0, 0.0, 0.09, 0.07, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.6, 4.95, 2.0, 0.0075
25, 1, 7.0, 0.0, 0.085, 0.055, 0.0, 0.0, 0.0, 0.0, 0.015, 0.0, 0.6, 4.95, 2.0, 0.0056
25, 1, 7.0, 0.0, 0.08, 0.04, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.6, 4.95, 2.0, 0.004
25, 1, 7.0, 0.0, 0.075, 0.025, 0.0, 0.0, 0.0, 0.0, 0.025, 0.0, 0.6, 4.95, 2.0, 0.00267
25, 1, 7.0, 0.0, 0.0667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0333, 0.0, 0.6, 4.95, 2.0, -0.0006
25, 1, 7.0, 3.4, 0.0, 0.01, 0.0, 0.005, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.0167
25, 1, 7.0, 3.4, 0.0, 0.02, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.0169
25, 1, 7.0, 4.7, 0.0, 0.001, 0.0005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.0140
25, 1, 7.0, 4.7, 0.0, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.0159
25, 1, 7.0, 4.7, 0.0, 0.01, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.0164
25, 1, 7.0, 5.2, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0005, 0.6, 4.95, 2.0, -0.0092
25, 1, 7.0, 5.6, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005, 0.6, 4.95, 2.0, -0.0189
25, 1, 7.0, 5.6, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.6, 4.95, 2.0, -0.0218
25, 1, 7.0, 4.9, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0005, 0.0, 0.6, 4.95, 2.0, 0.0059
25, 1, 7.0, 4.9, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005, 0.0, 0.6, 4.95, 2.0, -0.0009
25, 1, 7.0, 5.4, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.6, 4.95, 2.0, -0.0032
25, 1, 7.0, 3.4, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 4.95, 2.0, 0.015
